DATE,FEDFUNDS
1/1/2004,1.003333333
4/1/2004,1.01
7/1/2004,1.433333333
10/1/2004,1.95
1/1/2005,2.47
4/1/2005,2.943333333
7/1/2005,3.46
10/1/2005,3.98
1/1/2006,4.456666667
4/1/2006,4.906666667
7/1/2006,5.246666667
10/1/2006,5.246666667
1/1/2007,5.256666667
4/1/2007,5.25
7/1/2007,5.073333333
10/1/2007,4.496666667
1/1/2008,3.176666667
4/1/2008,2.086666667
7/1/2008,1.94
10/1/2008,0.506666667
1/1/2009,0.183333333
4/1/2009,0.18
7/1/2009,0.156666667
10/1/2009,0.12
1/1/2010,0.133333333
4/1/2010,0.193333333
7/1/2010,0.186666667
10/1/2010,0.186666667
1/1/2011,0.156666667
4/1/2011,0.093333333
7/1/2011,0.083333333
10/1/2011,0.073333333
1/1/2012,0.103333333
4/1/2012,0.153333333
7/1/2012,0.143333333
10/1/2012,0.16
1/1/2013,0.143333333
4/1/2013,0.116666667
7/1/2013,0.083333333
10/1/2013,0.086666667
1/1/2014,0.073333333
4/1/2014,0.093333333
7/1/2014,0.09
10/1/2014,0.1
1/1/2015,0.11
4/1/2015,0.123333333
7/1/2015,0.136666667
10/1/2015,0.16
1/1/2016,0.36
4/1/2016,0.373333333
7/1/2016,0.396666667
10/1/2016,0.45
1/1/2017,0.7
4/1/2017,0.95
7/1/2017,1.153333333
10/1/2017,1.203333333
1/1/2018,1.446666667
4/1/2018,1.736666667
7/1/2018,1.923333333
10/1/2018,2.22
1/1/2019,2.403333333
4/1/2019,2.396666667
7/1/2019,2.19
10/1/2019,1.643333333
1/1/2020,1.26
4/1/2020,0.06
7/1/2020,0.093333333
10/1/2020,0.09
1/1/2021,0.08
4/1/2021,0.07
7/1/2021,0.09
10/1/2021,0.08
1/1/2022,0.12
4/1/2022,0.77
7/1/2022,2.19
10/1/2022,3.653333333
1/1/2023,4.516666667
4/1/2023,4.99
7/1/2023,5.26
10/1/2023,5.33
